Parameter,Case Opt,Case CE,Case Dual
Cost,5.06131692,8.9323678854,122.32956879
xk1,-0.0633480279,-0.3722201037,-0.0043654872
xk1,0.2425083062,-1.0323519326,-0.0115088498
xk1,0.239862304,-1.8376322263,0.0015874267
xk1,-0.8222870929,-2.3397803486,0.0164916042
xk1,-0.2222983797,0.3659328831,0.0960714427
xk1,1.2419199749,1.754880732,0.1510260443
xk1,0.4378068606,1.825639622,0.1660450061
xk1,-0.3963764288,1.2815310303,0.1483344316
xk1,-2.5573602516,0.7861724763,0.2064504148
xk1,-0.2240790105,1.832243249,0.3779422036
xk1,2.4363534525,1.48395145,0.4934493921
xk1,2.0455304927,0.8094402641,0.3234825719
xk1,-0.7738577992,-0.3907162625,-0.0915217681
xk1,-7.0557837826,-0.771063104,-0.008786676
xk1,-1.1660453051,0.4995239245,1.0915798112
xk1,6.7775119737,4.8007256658,3.8412519497
xk1,13.7894396343,10.7231275717,8.8084578393
xk1,0.1131197232,13.7823987988,17.3975157141
xk1,-1.3463513911,-1.8841769025,16.1796479518
xk1,0,-3.4631584558,13.8024685488
xk2,0.164652641,-0.5614835511,-0.0065851962
xk2,0.5329181102,-1.1119498949,-0.0121378874
xk2,-1.1342636249,-1.4716297371,0.0169292796
xk2,-0.4311497336,-1.3689790472,0.022427216
xk2,0.7048011833,3.0862881521,0.1183761638
xk2,0.1580309752,1.6903266352,0.1126728995
xk2,-0.6531054157,-0.4523501074,0.0651505759
xk2,-2.5183831313,0.1335805387,0.0524545716
xk2,-1.0491226867,0.7138883608,0.1835041144
xk2,1.7338670947,2.179962635,0.3642543583
xk2,3.7113673345,0.0430857312,0.3051735607
xk2,1.9634892843,-0.6073597639,-0.0773074489
xk2,-5.3991043134,-0.7996505778,-0.4160780331
xk2,-4.6097933495,-0.1735045929,0.2735945863
xk2,5.3117451285,1.7211539879,1.7599395395
xk2,16.8567065614,6.3154209683,4.3349104661
xk2,6.1554177019,9.9762450251,8.4834463625
xk2,-13.2765309312,7.6483707139,15.7482176761
xk2,2.1762853749,-18.2989419787,4.239357989
xk2,0,0.3993228063,3.0740164259
xk3,0.2774513006,-0.7068049719,-0.0082895399
xk3,0.2487406058,-1.033196931,-0.0109805582
xk3,-1.1737735375,-1.4231184936,0.0257572584
xk3,0.9430792667,-1.5756148083,0.0081219303
xk3,0.5789566465,3.474578357,0.1374941845
xk3,-0.7405943875,-1.368680652,0.081380895
xk3,0.1713765816,-0.8127841179,0.0822961223
xk3,-2.0026864438,2.4008905039,0.1343031548
xk3,1.3426195043,1.7037777646,0.2935765839
xk3,0.9956718676,2.4941251096,0.4100829069
xk3,2.3901238396,-0.9990755028,0.2734674317
xk3,0.1694245447,0.6069317355,-0.0247842361
xk3,-7.1981106367,0.3703462598,-0.141230744
xk3,0.2052268953,0.3159751845,0.7507882477
xk3,5.6384344703,1.6440780366,1.8318365599
xk3,13.4947085256,6.2907428597,4.2717458467
xk3,-6.5376111344,9.1261243181,8.8196423189
xk3,-10.9002788642,7.1052370159,17.3119764282
xk3,18.9645827143,-19.9611447631,1.5393300526
xk3,0,21.4386593296,13.475114162
uk,0.7215043144,-0.4986103521,-0.0058477026
uk,-2.5865307008,0.5031886797,0.0067036474
uk,1.0528575128,1.5179588047,0.0457653898
uk,-0.2648105464,3.0194053785,-0.020973681
uk,1.2642447838,7.537902137,0.0660304474
uk,2.0977183573,-4.6911526317,-0.2179001324
uk,-1.4448887855,-1.6589204413,-0.2458444201
uk,0.7697541415,-0.3798093684,-0.2402648248
uk,0.6499465018,-3.260717721,-0.1558081888
uk,5.6111437046,-1.1275016754,-0.3104036163
uk,0.4541505345,-5.8339758374,-0.7692934055
uk,-9.8278017918,-0.8494356215,-1.0271443806
uk,-6.3543298175,-1.7152848331,-0.5898528337
uk,0.5865740552,0.3369231005,0.7596103365
uk,18.3499635656,2.0122196094,0.5687344882
uk,-4.4294597199,2.2023245119,-0.3346537312
uk,-22.2425064615,-6.6635300157,-3.575633174
uk,-31.2215218008,-19.7456506755,-9.4513655939
uk,22.1206192585,-41.8550418495,-41.7333117201
t1,1.8,1,1
t1,1.8,0.993642143,0.99844061
t1,1.8,0.9794304205,0.9975078927
t1,1.8,1.020175517,0.9921361444
t1,1.8,1.1385081566,1.0057250035
t1,1.8,1.1009012019,1.1847382744
t1,1.8,1.0723003142,1.1685398723
t1,1.8,1.0755638438,1.1544465858
t1,1.8,1.39080867,1.2948649094
t1,1.8,1.3852377029,1.2905795172
t1,1.8,1.314407234,1.1790283922
t1,1.8,1.2919194808,1.2502348117
t1,1.8,1.5181674299,1.0463732969
t1,1.8,1.8166516574,1.0400545958
t1,1.8,1.9467329106,0.6027998501
t1,1.8,1.8178930017,0.6028002946
t1,1.8,1.251558495,0.9977748839
t1,1.8,0.93783684,1.0517706556
t1,1.8,1.50383268,1.479673439
t1,1.8,1.4664510587,1.7775471954
t2,-1.01,-0.6,-0.6
t2,-1.01,-0.606357857,-0.60155939
t2,-1.01,-0.58114638,-0.6020207218
t2,-1.01,-0.4296760947,-0.5982019839
t2,-1.01,-0.2293105296,-0.6795414982
t2,-1.01,-0.202530192,-0.615678115
t2,-1.01,-0.1906675357,-0.4476098969
t2,-1.01,-0.1619158349,-0.4153770563
t2,-1.01,-0.0322258794,-0.3233020283
t2,-1.01,-0.0302464782,-0.2457495606
t2,-1.01,0.5417667397,-0.1250158142
t2,-1.01,0.5516103453,-0.0503075548
t2,-1.01,0.2423505991,0.1845389746
t2,-1.01,0.8222204324,0.2016296879
t2,-1.01,0.6739503553,-0.3623688929
t2,-1.01,0.6100194456,-0.362369333
t2,-1.01,0.3012941167,0.2091938362
t2,-1.01,-0.4969388274,0.2417889811
t2,-1.01,-0.488122206,0.4213953131
t2,-1.01,0.1592561146,0.642661169
t3,0.58,0.3,0.3
t3,0.58,0.2993642143,0.299844061
t3,0.58,0.3049503837,0.2999267204
t3,0.58,0.3274911974,0.3007890608
t3,0.58,0.3694862102,0.2859449307
t3,0.58,0.3319847797,0.2544486954
t3,0.58,0.3402183396,0.2437744564
t3,0.58,0.3406937069,0.2270741089
t3,0.58,0.3453726844,0.2023747027
t3,0.58,0.3465821987,0.1914890049
t3,0.58,0.3189727295,0.1906103207
t3,0.58,0.3157807642,0.1626139815
t3,0.58,0.2905284997,0.1811098584
t3,0.58,0.1029694939,0.1798309607
t3,0.58,0.1112342668,0.1390407632
t3,0.58,0.1369656153,0.1390407368
t3,0.58,-0.011852407,0.1729157978
t3,0.58,-0.1633610648,0.1895495168
t3,0.58,-0.3023093472,0.1104573775
t3,0.58,-0.381708123,0.1577436431
t4,0.3,0.1,0.1
t4,0.3,0.1011914821,0.1000090754
t4,0.3,0.0975280193,0.1000046938
t4,0.3,0.0767223937,0.0998123969
t4,0.3,0.0295779177,0.0994387681
t4,0.3,0.1027642077,0.0983339088
t4,0.3,0.1001032086,0.0960283177
t4,0.3,0.1058683285,0.0995358101
t4,0.3,0.159507705,0.0934108493
t4,0.3,0.158302874,0.0974301459
t4,0.3,0.0830298213,0.0739549674
t4,0.3,0.085950804,0.0825141366
t4,0.3,0.0665589102,0.0521634938
t4,0.3,-0.0190812946,0.0542052231
t4,0.3,-0.0226940659,0.1180863577
t4,0.3,0.0317305761,0.1180863584
t4,0.3,-0.0675348494,0.0986059164
t4,0.3,-0.0380487402,0.0927996249
t4,0.3,-0.0689272546,0.0606331809
t4,0.3,0.1037597906,0.1611095276
t5,0.5,0.7,0.7
t5,0.5,0.7011914821,0.7000090754
t5,0.5,0.6963459547,0.7000034633
t5,0.5,0.6756379104,0.6998131593
t5,0.5,0.6402888028,0.6989956427
t5,0.5,0.6978620227,0.6981472396
t5,0.5,0.686759949,0.6953946455
t5,0.5,0.6876592017,0.6974167528
t5,0.5,0.7790249996,0.6957613481
t5,0.5,0.7791563985,0.6974824128
t5,0.5,0.759272266,0.6793232653
t5,0.5,0.7646608524,0.6873550264
t5,0.5,0.718670829,0.6625568879
t5,0.5,0.6511508747,0.6653921228
t5,0.5,0.6410328591,0.7290686148
t5,0.5,0.6583323549,0.7290685962
t5,0.5,0.5659182472,0.6962910048
t5,0.5,0.6154381489,0.6911924356
t5,0.5,0.5959950682,0.6454217111
t5,0.5,0.6271606989,0.7379919447
t6,1,1.5,1.5
t6,1,1.5119148205,1.5000907539
t6,1,1.4813032464,1.5000531192
t6,1,1.2463568895,1.4980323472
t6,1,0.7171628279,1.4963258921
t6,1,1.4290519573,1.4881518183
t6,1,1.4131169243,1.4640799484
t6,1,1.3976927556,1.5055282969
t6,1,1.1954837406,1.4550776026
t6,1,1.1905565395,1.4764085604
t6,1,1.190799564,1.3252875114
t6,1,1.2431871587,1.4055793578
t6,1,1.102700694,1.1283352834
t6,1,0.9251122301,1.1623018945
t6,1,0.9180634338,1.6085442695
t6,1,0.977099237,1.60854402
t6,1,0.7399325655,1.6082226775
t6,1,1.2202138783,1.5363712813
t6,1,0.8903520335,0.9461077311
t6,1,1.3467315581,1.5315830988
